path,filename,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00080.au,pop.00080.au,0.4335403,0.21566187,3151.406048473924,3220.6233818211003,7294.5599124492455,0.12755734000386698,-44.98689,69.775894,11.840672,8.117906,12.628617,7.8121014,11.339223,0.18483159,9.635791,2.8409944,3.8533392,-0.8417094,2.1321974,1.0832055,-0.0771042,0.64807266,-1.4845344,3.7256298,4.553656,4.274244,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00022.au,pop.00022.au,0.38697228,0.19603845,3206.647958650542,3126.207007463915,7019.799238235933,0.14153094487142304,-45.730503,65.273964,12.928245,14.523945,7.0328503,4.3946295,6.6237683,3.2991152,7.7277794,4.0600505,3.6625175,2.6021338,4.0489707,2.384604,1.780818,-2.392593,-1.3461764,-2.8791792,-0.8498642,-2.5981336,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00073.au,pop.00073.au,0.42355037,0.25978214,3669.8104669349937,3295.063698895931,7876.372738725348,0.16179669373549885,-8.573005,54.295788,20.964115,13.100406,9.715855,6.0221763,10.730787,6.106817,0.6969414,5.003989,-3.447254,0.8748061,-1.9368967,-2.7831306,-2.666644,-3.3114786,1.7082608,-0.15276642,4.84682,2.9062352,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00047.au,pop.00047.au,0.43340746,0.21573293,3151.3426231432663,3220.369558586063,7293.569018724623,0.12735455034319412,-45.02928,69.7547,11.873838,8.160097,12.596263,7.7551723,11.303385,0.2508941,9.658154,2.8055396,3.8566477,-0.84454066,2.09968,1.1225882,0.0066714776,0.7482599,-1.4743037,3.6728432,4.469373,4.1986656,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00016.au,pop.00016.au,0.38881102,0.14656842,3488.8979434426483,3205.348888677377,7496.760520138486,0.1533135150812065,-97.05398,51.834522,18.751598,20.487318,5.610611,3.575838,5.5739875,0.7409075,7.338095,1.6581378,-2.6979017,-0.44195834,-1.0840604,-3.4507062,-2.4759772,-3.302751,-2.228499,-2.6495566,-2.7440858,0.3057482,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00006.au,pop.00006.au,0.37445438,0.093941845,2125.3878140504357,2673.835976774353,4978.558165512616,0.06768001075502707,-169.12946,94.64907,24.48003,27.384008,11.639039,14.885311,4.2372394,12.381324,10.709881,5.1241975,-0.34837678,1.2524844,-4.157143,-3.124799,0.30709675,-3.5452862,-2.8116302,-5.7679443,-5.212289,-0.09213257,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00057.au,pop.00057.au,0.51852125,0.32924145,3672.8534760255566,3279.6289668536638,7783.88654881453,0.15405896534222738,-39.63845,33.950104,9.583241,16.655977,14.907743,11.196752,21.489483,9.884768,14.73506,15.624816,2.0449588,2.5801914,0.36708727,1.6488098,6.9265532,8.2295065,9.359765,6.963523,1.5010893,-1.1233691,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00063.au,pop.00063.au,0.3166634,0.12607248,1826.4363763192466,2294.4440494068185,3795.9306685941124,0.07461564373066512,-125.979675,117.34161,-0.06749969,10.210602,4.4887323,2.178098,-3.6399233,3.3827174,1.7389082,4.5570374,0.84083223,2.425744,-3.111211,-2.840175,-6.1148324,-5.2602005,-1.8073972,-3.2092347,1.2758433,5.805641,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00032.au,pop.00032.au,0.42676923,0.09786053,4225.461048803119,3404.380733377869,8483.38257685615,0.22864062197892498,-113.163,41.597984,21.517519,11.098094,17.437098,0.6096569,3.0298927,0.085250445,3.4522667,0.2873941,0.6187023,1.2615824,2.8980768,-0.7760109,0.21645002,-1.4073851,-0.75681835,-0.8675162,-1.5359048,1.0719895,pop
/Users/dohee/Documents/ds_study/data/genres/pop/pop.00090.au,pop.00090.au,0.35319173,0.19402906,3603.8169001578863,3334.3307613639963,7960.298939149507,0.1475236248066512,-44.74116,55.061535,27.15506,19.494202,14.693746,3.204387,5.503136,1.4257252,4.4955463,1.3721119,-1.6586041,-3.534179,-7.919715,-3.5340233,-8.193973,-3.3960066,-2.6609547,4.2851734,1.3538235,-0.16828936,pop
